0,IUPAC_name,official_name,aliases,designated_date_ja,pubchem_cid,inchi_key,effective_date,gazette_date,source_link
111,"2-[(4-kuroro-2,5-jimethoxy fenechiruamineo)mechiru]feno-ru及 びその salts",25C-NBOH,,平成27年6月24日,,,,,
112,1-(4-kurorophenyl)puropan-2 -amine,4Cl-AMP,,平成26年8月15日,,,,,
113,2-(2-kurorophenyl)-1-(1-pe nchiru-1H-indo-ru-3-iru) etanon,JWH-203,,平成23年9月20日,,,,,
114,N-(4-kurorophenyl)-2-mechiru -N-(1-fenechirupiperijin-4- iru)puropanamido,4Cl-iBF;  p-CIBF,,平成30年2月28日,,,,,
115,1-(4-kurorophenyl)-N-mechiru puropan-2-amine,4-CMA;  p-CMA,,平成29年6月21日,,,,,
116,2-(3-kurorophenyl)-3-mechiru moruforin,3-CPM;  3-Chlorophenmetrazine,,令和5年6月21日,,,,,
117,sarubinorinA,,,平成19年2月28日,,,,,
118,"1-(4-shianobuchiru)-N-(2-fe nirupuropan-2-iru)-1H-piro ro[2,3-b]pirijin-3-karuboki samido",CUMYL-4CN-B7AICA,,令和元年6月13日,,,,,
119,"N,N-jiisopropyltoriputamine及び その salts",DIPT,,平成19年2月28日,,,,,
120,1-(2-jiechiruamineo)echiru-2- (4-furuorobenzylu)-5-nitorobe nzuimidazo-ru,Flunitazene;  Fluonitazene,,令和6年11月6日,,,,,
121,1-(2-jiechiruamineo)echiru-2- (4-methoxybenzylu)benzuimida zo-ru,"Metodesnitazene,  Metazene",,令和6年11月6日,,,,,
122,"3-jiechiruamineo-2,2-jimechirupu ropiru=4-amineobenzoa-to及びそ の salts",Dimethocaine,,平成27年5月22日,,,,,
123,"N,N-jiechiru-7-echiru-4,6, 6a,7,8,9-hekisahidoroindoro[4, 3-fg]kinorin-9-karubokisamido及 びその salts",ETH-LAD,,令和2年2月28日,,,,,
124,"N,N-jiechiru-4-hidorokishitoripu tamine",4-OH DET,,平成25年4月30日,,,,,
125,"N,N-jiechiru-7-mechiru-4-(chi ofen-2-karuboniru)-4,6,6 a,7,8,9-hekisahidoroindoro[4, 3-fg]kinorin-9-karubokisamido及 びその salts",1T-LSD,,令和6年5月1日,,,,,
126,"N,N-jiechiru-7-mechiru-4-[3 -(torimechirushiriru)puropanoiru]- 4,6,6a,7,8,9-hekisahidoroin doro[4,3-fg]kinorin-9-karuboki samido",1S-LSD,,令和7年3月5日,,,,,
127,"N,N-jiechiru-7-mechiru-4-pu ropioniru-4,6,6a,7,8,9-he kisahidoroindoro[4,3-fg]kinorin -9-karubokisamido",1P-LSD,,平成28年4月8日,,,,,
128,"N,N-jiechiru-7-mechiru-4-pe ntanoiru-4,6,6a,7,8,9-heki sahidoroindoro[4,3-fg]kinorin- 9-karubokisamido",1V-LSD,,令和5年3月10日,,,,,
129,"N,N-jiechiru-5-methoxytoriputa min",5-MeO-DET,,平成19年2月28日,,,,,
130,1-(shikurobuchirumechiru)-N-(2- phenylpuropan-2-iru)-1H-i ndazo-ru-3-karubokisamido及びそ の salts,CUMYL-CBMINACA,,令和4年8月30日,,,,,
131,1-(shikurobuchirumechiru)-N-(2- phenylpuropan-2-iru)-1H-i ndo-ru-3-karubokisamido,CUMYL-CBMICA,,令和4年6月28日,,,,,
132,"4-(shikuropuropirukaruboniru)-N, N-jiechiru-7-mechiru-4,6,6a, 7,8,9-hekisahidoroindoro[4,3- fg]kinorin-9-karubokisamido及びそ の salts",1cP-LSD,,令和3年1月22日,,,,,
